"Time","NERSC-Perlmutter-CPU"
2025-09-21 17:30:00,232
2025-09-21 18:00:00,232
2025-09-21 18:30:00,232
2025-09-21 19:00:00,232
2025-09-21 19:30:00,232
2025-09-21 20:00:00,229
2025-09-21 20:30:00,231
2025-09-21 21:00:00,187
2025-09-21 21:30:00,174
2025-09-21 22:00:00,173
2025-09-21 22:30:00,174
2025-09-21 23:00:00,174
2025-09-21 23:30:00,174
2025-09-22 00:00:00,174
2025-09-22 00:30:00,174
2025-09-22 01:00:00,174
2025-09-22 01:30:00,174
2025-09-22 02:00:00,212
2025-09-22 02:30:00,261
2025-09-22 03:00:00,290
2025-09-22 03:30:00,290
2025-09-22 04:00:00,290
2025-09-22 04:30:00,290
2025-09-22 05:00:00,290
2025-09-22 05:30:00,281
2025-09-22 06:00:00,191
2025-09-22 06:30:00,174
2025-09-22 07:00:00,174
2025-09-22 07:30:00,210
2025-09-22 08:00:00,241
2025-09-22 08:30:00,232
2025-09-22 09:00:00,232
2025-09-22 09:30:00,232
2025-09-22 10:00:00,250
2025-09-22 10:30:00,290
2025-09-22 11:00:00,290
2025-09-22 11:30:00,290
2025-09-22 12:00:00,287
2025-09-22 12:30:00,289
2025-09-22 13:00:00,289
2025-09-22 13:30:00,290
2025-09-22 14:00:00,290
2025-09-22 14:30:00,290
2025-09-22 15:00:00,290
2025-09-22 15:30:00,290
2025-09-22 16:00:00,290
2025-09-22 16:30:00,290
2025-09-22 17:00:00,290
2025-09-22 17:30:00,289
2025-09-22 18:00:00,290
2025-09-22 18:30:00,290
2025-09-22 19:00:00,290
2025-09-22 19:30:00,290
2025-09-22 20:00:00,289
2025-09-22 20:30:00,290
2025-09-22 21:00:00,290
2025-09-22 21:30:00,290
2025-09-22 22:00:00,289
2025-09-22 22:30:00,289
2025-09-22 23:00:00,290
2025-09-22 23:30:00,290
2025-09-23 00:00:00,290
2025-09-23 00:30:00,290
2025-09-23 01:00:00,290
2025-09-23 01:30:00,290
2025-09-23 02:00:00,290
2025-09-23 02:30:00,290
2025-09-23 03:00:00,290
2025-09-23 03:30:00,288
2025-09-23 04:00:00,288
2025-09-23 04:30:00,290
2025-09-23 05:00:00,290
2025-09-23 05:30:00,290
2025-09-23 06:00:00,289
2025-09-23 06:30:00,290
2025-09-23 07:00:00,290
2025-09-23 07:30:00,290
2025-09-23 08:00:00,252
2025-09-23 08:30:00,212
2025-09-23 09:00:00,175
2025-09-23 09:30:00,174
2025-09-23 10:00:00,174
2025-09-23 10:30:00,174
2025-09-23 11:00:00,174
2025-09-23 11:30:00,174
2025-09-23 12:00:00,174
2025-09-23 12:30:00,222
2025-09-23 13:00:00,227
2025-09-23 13:30:00,186
2025-09-23 14:00:00,176
2025-09-23 14:30:00,174
2025-09-23 15:00:00,174
2025-09-23 15:30:00,173
2025-09-23 16:00:00,125
2025-09-23 16:30:00,116
2025-09-23 17:00:00,116
2025-09-23 17:30:00,116
2025-09-23 18:00:00,116
2025-09-23 18:30:00,116
2025-09-23 19:00:00,116
2025-09-23 19:30:00,116
2025-09-23 20:00:00,116
2025-09-23 20:30:00,116
2025-09-23 21:00:00,116
2025-09-23 21:30:00,116
2025-09-23 22:00:00,116
2025-09-23 22:30:00,115
2025-09-23 23:00:00,153
2025-09-23 23:30:00,230
2025-09-24 00:00:00,232
2025-09-24 00:30:00,232
2025-09-24 01:00:00,232
2025-09-24 01:30:00,232
2025-09-24 02:00:00,232
2025-09-24 02:30:00,232
2025-09-24 03:00:00,232
2025-09-24 03:30:00,269
2025-09-24 04:00:00,290
2025-09-24 04:30:00,290
2025-09-24 05:00:00,290
2025-09-24 05:30:00,290
2025-09-24 06:00:00,290
2025-09-24 06:30:00,290
2025-09-24 07:00:00,290
2025-09-24 07:30:00,290
2025-09-24 08:00:00,290
2025-09-24 08:30:00,287
2025-09-24 09:00:00,289
2025-09-24 09:30:00,286
2025-09-24 10:00:00,290
2025-09-24 10:30:00,290
2025-09-24 11:00:00,290
2025-09-24 11:30:00,290
2025-09-24 12:00:00,290
2025-09-24 12:30:00,290
2025-09-24 13:00:00,290
2025-09-24 13:30:00,274
2025-09-24 14:00:00,651
2025-09-24 14:30:00,796
2025-09-24 15:00:00,796
2025-09-24 15:30:00,796
2025-09-24 16:00:00,796
2025-09-24 16:30:00,796
2025-09-24 17:00:00,796
2025-09-24 17:30:00,850
2025-09-24 18:00:00,995
2025-09-24 18:30:00,995
2025-09-24 19:00:00,995
2025-09-24 19:30:00,995
2025-09-24 20:00:00,995
2025-09-24 20:30:00,995
2025-09-24 21:00:00,995
2025-09-24 21:30:00,995
2025-09-24 22:00:00,995
2025-09-24 22:30:00,995
2025-09-24 23:00:00,995
2025-09-24 23:30:00,995
2025-09-25 00:00:00,995
2025-09-25 00:30:00,989
2025-09-25 01:00:00,983
2025-09-25 01:30:00,983
2025-09-25 02:00:00,983
2025-09-25 02:30:00,983
2025-09-25 03:00:00,983
2025-09-25 03:30:00,983
2025-09-25 04:00:00,983
2025-09-25 04:30:00,983
2025-09-25 05:00:00,983
2025-09-25 05:30:00,983
2025-09-25 06:00:00,983
2025-09-25 06:30:00,984
2025-09-25 07:00:00,983
2025-09-25 07:30:00,983
2025-09-25 08:00:00,983
2025-09-25 08:30:00,983
2025-09-25 09:00:00,983
2025-09-25 09:30:00,983
2025-09-25 10:00:00,983
2025-09-25 10:30:00,983
2025-09-25 11:00:00,983
2025-09-25 11:30:00,983
2025-09-25 12:00:00,338
2025-09-25 12:30:00,199
2025-09-25 13:00:00,199
2025-09-25 13:30:00,194
2025-09-25 14:00:00,194
2025-09-25 14:30:00,197
2025-09-25 15:00:00,
2025-09-25 15:30:00,
2025-09-25 16:00:00,
2025-09-25 16:30:00,
2025-09-25 17:00:00,
2025-09-25 17:30:00,
2025-09-25 18:00:00,
2025-09-25 18:30:00,
2025-09-25 19:00:00,
2025-09-25 19:30:00,
2025-09-25 20:00:00,
2025-09-25 20:30:00,
2025-09-25 21:00:00,
2025-09-25 21:30:00,
2025-09-25 22:00:00,
2025-09-25 22:30:00,
2025-09-25 23:00:00,
2025-09-25 23:30:00,
2025-09-26 00:00:00,
2025-09-26 00:30:00,
2025-09-26 01:00:00,
2025-09-26 01:30:00,
2025-09-26 02:00:00,
2025-09-26 02:30:00,
2025-09-26 03:00:00,
2025-09-26 03:30:00,
2025-09-26 04:00:00,
2025-09-26 04:30:00,
2025-09-26 05:00:00,
2025-09-26 05:30:00,
2025-09-26 06:00:00,169
2025-09-26 06:30:00,393
2025-09-26 07:00:00,398
2025-09-26 07:30:00,398
2025-09-26 08:00:00,398
2025-09-26 08:30:00,398
2025-09-26 09:00:00,398
2025-09-26 09:30:00,445
2025-09-26 10:00:00,596
2025-09-26 10:30:00,748
2025-09-26 11:00:00,796
2025-09-26 11:30:00,796
2025-09-26 12:00:00,796
2025-09-26 12:30:00,796
2025-09-26 13:00:00,796
2025-09-26 13:30:00,796
2025-09-26 14:00:00,796
2025-09-26 14:30:00,940
2025-09-26 15:00:00,995
2025-09-26 15:30:00,995
2025-09-26 16:00:00,995
2025-09-26 16:30:00,995
2025-09-26 17:00:00,976
